language;phrases;word;position;ID
es;Voy al banco a sacar dinero;banco;2;bn:00008364n
es;Mi padre se sienta en el banco de la plaza;banco;6;bn:00009850n
es;Juan habla una sola lengua;lengua;4;bn:00049910n
es;Las jirafas tienen la lengua muy larga;lengua;4;bn:00019439n
es;Ariel es una sirena;sirena;3;bn:00054464n
es;La sirena del colegio sonó varias veces;sirena;1;bn:00071830n
es;El viento movía las hojas de los árboles;hojas;4;bn:00035596n
es;Juan pasaba las hojas velozmente;hojas;3;bn:00060464n
es;El sol es una estrella;estrella;4;bn:00073964n
es;La estrella de cine ganó numerosos premios;estrella;1;bn:00016990n
es;Juan tiene cosquillas en la planta de los pies;planta;5;bn:15908786n
es;La última planta es la sexta;planta;2;bn:00035304n
es;Ayer jugamos a las cartas;cartas;4;bn:00062958n
es;El cartero repartió muchas cartas;cartas;4;bn:00050802n
es;La llama tiene mucho pelo;llama;1;bn:00038381n
es;La llama quemó su mano;llama;1;bn:00034625n
es;La manzana estaba podrida;manzana;1;bn:00005054n
es;Di la vuelta a la manzana;manzana;5;bn:00011309n
es;El ratón comía queso;ratón;1;bn:22557085n
es;Me compré un nuevo ratón para mi ordenador;ratón;4;bn:00021487n
