language;phrases;word;position;ID
it;Il riso è il mio cibo favorito;riso;1;bn:00067718n
it;Il suo riso è contagioso;riso;2;bn:27269544n
it;La sirena è un essere favoloso;sirena;1;bn:00054464n
it;La sirena suona molto forte;sirena;1;bn:00071830n
it;Abbiamo un piano perfetto per viaggiare in tutta Europa;piano;2;bn:00069579n
it;Abito al terzo piano;piano;3;bn:00035305n
it;La coda ha fatto il giro dell'isolato;coda;1;bn:00052106n
it;I conigli non hanno la coda;coda;4;bn:00075904n
it;Il mio fratello è malato di influenza;influenza;6;bn:00035412n
it;I politici hanno molta influenza;influenza;4;bn:00046693n
it;La mia lingua madre è l'italiano;lingua;2;bn:00049910n
it;La lingua è un organo muscolare;lingua;1;bn:00019439n
it;Che bel tempo fa oggi;tempo;2;bn:00006808n
it;Tanto tempo fa che non ci vediamo;tempo;1;bn:00077270n
it;Il viola è il colore che meno mi piace indossare;viola;1;bn:00065306n
it;Suona la viola da molti anni in un’orchestra;viola;2;bn:00080033n
it;Maria ha una pianta grande nel suo giardino;pianta;3;bn:00035324n
it;Mi fa male la pianta del piede;pianta;4;bn:15908786n
it;L’addizione è l’operazione matematica più semplice;operazione;2;bn:00053826n
it;La operazione di Filippo è andata a buon fine;operazione;1;bn:00059129n
