language;phrases;word;position;ID
fr;Tu veux un café;café;3;bn:00020414n
fr;Les deux amis se rejoignent au café;café;6;bn:00014557n
fr;Les enfants jouent au football dans le parc avec une balle;balle;10;bn:00008120n
fr;Le policier a tiré une balle pour arrêter le voleur;balle;5;bn:00013807
fr;Tracez une ligne droite sur la feuille de papier;ligne;2;bn:00051291n
fr;La ligne de transmission est cassé;ligne;1;bn:00014457n
fr;Il fait beau temps aujourd'hui;temps;3;bn:00006808n
fr;le temps passe très vite;temps;1;bn:00077270n
fr;Notre chef d'entreprise est très compétent et visionnaire;chef;1;bn:00050371n
fr;Le chef prépare un délicieux plat dans la cuisine;chef;1;bn:00018057n
fr;J'ai utilisé une poêle pour faire cuire les œufs ce matin;poêle;4;bn:00036719n
fr;La poêle à bois réchauffe toute la maison pendant les mois d'hiver;poêle;1;bn:00074479n
fr;Tiens fermement le bout de la corde pour ne pas la lâcher;bout;3;bn:05081568n
fr;Je vais te donner un bout de gâteau, c'est délicieux;bout;5;bn:00010727n
fr;Trouver le juste balance entre le travail et la vie personnelle est essentiel;balance;3;bn:00031312n
fr;Je vais me peser sur la balance pour vérifier mon poids;balance;6;bn:00069470n
fr;J'assiste à un cours de français tous les lundis soir;cours;4;bn:00050793n
fr;Le cours de la rivière est calme et paisible;cours;1;bn:00080646n
fr;Je vais faire un tour à vélo dans le parc ce soir;tour;4;bn:00019181n
fr;La Tour Eiffel est l'un des monuments les plus emblématiques de Paris;tour;1;bn:00029980n
